scenario,generator,family,metric,mean,std,count
standard,gaussian_copula,fidelity,correlation_frobenius_per_variable,0.05482180219917485,0.006265074257749087,3
standard,gaussian_copula,fidelity,descriptive_fidelity_distance,0.023575020641776506,0.00501581057694463,3
standard,gaussian_copula,fidelity,ks_bmi,0.023777777777777776,0.006049181150584976,3
standard,gaussian_copula,fidelity,ks_outcome,0.03244444444444444,0.0055909980557373885,3
standard,gaussian_copula,fidelity,mean_abs_std_diff_bmi,0.02359351919508351,0.03229705200922761,3
standard,gaussian_copula,fidelity,mean_abs_std_diff_outcome,0.037751172950679,0.02237433364961231,3
standard,gaussian_copula,fidelity,pmse_raw,0.0027686313863210196,0.0003918612777281614,3
standard,gaussian_copula,fidelity,real_vs_synthetic_auc,0.5216211851851852,0.015824603068894532,3
standard,gaussian_copula,fidelity,tv_active,0.013111111111111106,0.0036717136981907193,3
standard,gaussian_copula,fidelity,tv_age_group,0.04977777777777779,0.004682512779045662,3
standard,gaussian_copula,fidelity,tv_diabetes,0.005111111111111108,0.0026943012562182407,3
standard,gaussian_copula,fidelity,tv_education,0.022222222222222216,0.012006171252657865,3
standard,gaussian_copula,fidelity,tv_female,0.008666666666666675,0.005206833117271116,3
standard,gaussian_copula,fidelity,tv_general_health,0.0171111111111111,0.003790827135384874,3
standard,gaussian_copula,fidelity,tv_income,0.03666666666666666,0.005773502691896254,3
standard,gaussian_copula,fidelity,tv_treatment,0.012666666666666678,0.009451631252505225,3
standard,gaussian_copula,mechanism_preservation,outcome_contrast_correlation,0.06914631735312417,0.13250887238886425,3
standard,gaussian_copula,mechanism_preservation,outcome_contrast_rmse,1.9001094042888251,0.14813440828058924,3
standard,gaussian_copula,mechanism_preservation,treatment_mechanism_correlation,0.9718985182074666,0.011668962600766459,3
standard,gaussian_copula,mechanism_preservation,treatment_mechanism_rmse,0.05973046206509123,0.013085289346803287,3
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_bias,0.20793712762752226,0.22072468464780573,3
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_mae,1.0147099878195365,0.1663597102242668,3
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_rmse,1.2944098647770688,0.19353982620091126,3
standard,gaussian_copula,oracle_mechanism,oracle_propensity_correlation,0.7644887715533142,0.02914105734063585,3
standard,gaussian_copula,oracle_mechanism,oracle_propensity_rmse,0.13367998461186173,0.006888348236248508,3
standard,gaussian_copula,predictive_utility,tstr_outcome_rmse,5.565173028666386,0.08313432600131364,3
standard,gaussian_copula,predictive_utility,tstr_treatment_auc,0.6674580245524674,0.010862517508237853,3
standard,reference,oracle_mechanism,oracle_effect_contrast_bias,0.2296174296154918,0.29497056393024784,3
standard,reference,oracle_mechanism,oracle_effect_contrast_mae,1.0362833700954273,0.09157368112436355,3
standard,reference,oracle_mechanism,oracle_effect_contrast_rmse,1.3890934162556656,0.06324207654838376,3
standard,reference,oracle_mechanism,oracle_propensity_correlation,0.8596140269562379,0.015676854786296872,3
standard,reference,oracle_mechanism,oracle_propensity_rmse,0.11465855560390859,0.0036589793492606023,3
weak_overlap,gaussian_copula,fidelity,correlation_frobenius_per_variable,0.06469100797538259,0.005682368061209855,3
weak_overlap,gaussian_copula,fidelity,descriptive_fidelity_distance,0.017724097046440346,0.001502970039694823,3
weak_overlap,gaussian_copula,fidelity,ks_bmi,0.017555555555555557,0.004729732589731726,3
weak_overlap,gaussian_copula,fidelity,ks_outcome,0.01911111111111111,0.00214303350244288,3
weak_overlap,gaussian_copula,fidelity,mean_abs_std_diff_bmi,0.0167076837031882,0.0020155608017970793,3
weak_overlap,gaussian_copula,fidelity,mean_abs_std_diff_outcome,0.01198148085409594,0.002591524627938718,3
weak_overlap,gaussian_copula,fidelity,pmse_raw,0.002265644259423711,0.00023764475816523983,3
weak_overlap,gaussian_copula,fidelity,real_vs_synthetic_auc,0.533865037037037,0.007866687060027935,3
weak_overlap,gaussian_copula,fidelity,tv_active,0.01333333333333333,0.014892205269125753,3
weak_overlap,gaussian_copula,fidelity,tv_age_group,0.040888888888888884,0.003790827135384894,3
weak_overlap,gaussian_copula,fidelity,tv_diabetes,0.0022222222222222227,0.0003849001794597602,3
weak_overlap,gaussian_copula,fidelity,tv_education,0.012000000000000005,0.004666666666666665,3
weak_overlap,gaussian_copula,fidelity,tv_female,0.010444444444444423,0.006938886664887107,3
weak_overlap,gaussian_copula,fidelity,tv_general_health,0.01733333333333334,0.003527668414752803,3
weak_overlap,gaussian_copula,fidelity,tv_income,0.03822222222222222,0.005975257626555004,3
weak_overlap,gaussian_copula,fidelity,tv_treatment,0.012888888888888866,0.005091750772173143,3
weak_overlap,gaussian_copula,mechanism_preservation,outcome_contrast_correlation,-0.07216818533950416,0.12836449332208089,3
weak_overlap,gaussian_copula,mechanism_preservation,outcome_contrast_rmse,2.3228955899334975,0.27852086966027534,3
weak_overlap,gaussian_copula,mechanism_preservation,treatment_mechanism_correlation,0.9843583046971242,0.006539002642419392,3
