scenario,data,estimator,mean_ate,bias,rmse_truth,rmse_vs_reference,empirical_sd,mean_se,coverage_95
Standard overlap,Gaussian copula,aipw,1.9604851258381768,-0.0395148741618231,0.2614441024510457,0.2298696264433034,0.2597426726324939,0.2072790005730176,0.86
Standard overlap,Gaussian copula,crude,4.923587841658067,2.923587841658068,2.9403286372394937,1.357890141946961,0.3148939649651854,0.2376533851947439,0.0
Standard overlap,Gaussian copula,gcomp,1.8884340109501423,-0.1115659890498573,0.2790253248466833,0.2065065343443449,0.2570386167448489,,
Standard overlap,Gaussian copula,ipw,2.015452914846336,0.0154529148463354,0.2544913345951459,0.2860993487864699,0.2553014593737254,0.2637326473824319,0.95
Standard overlap,Reference,aipw,1.9888240183908217,-0.0111759816091783,0.1914915978811347,0.0,0.1921282439291382,0.2064911624442777,0.96
Standard overlap,Reference,crude,6.258471880212398,4.258471880212396,4.2647804733904175,0.0,0.2330511966393609,0.2318683527203349,0.0
Standard overlap,Reference,gcomp,1.953040396483743,-0.046959603516257,0.1913093873999892,0.0,0.1863906979106827,,
Standard overlap,Reference,ipw,2.2091638233678608,0.2091638233678606,0.2841316991185711,0.0,0.1932740699088628,0.2819817910202501,0.97
Weak overlap,Gaussian copula,aipw,2.1129561709109423,0.1129561709109423,0.3065064104784057,0.3124144053539301,0.2863689135785103,0.2375358984850138,0.86
Weak overlap,Gaussian copula,crude,6.587145078564341,4.58714507856434,4.59603873835453,1.7576160557657603,0.2872230552956762,0.2327659506420923,0.0
Weak overlap,Gaussian copula,gcomp,2.191042554482564,0.1910425544825632,0.3360341472932374,0.4493534412423849,0.2778374107131504,,
Weak overlap,Gaussian copula,ipw,2.262892996391558,0.2628929963915579,0.4008811920298554,0.4195507261228451,0.3041680200410674,0.3198041158846166,0.88
Weak overlap,Reference,aipw,2.081943665185945,0.0819436651859451,0.2852253172979848,0.0,0.2745772091810358,0.2680726125980375,0.93
Weak overlap,Reference,crude,8.328622039045252,6.328622039045249,6.3321004677945565,0.0,0.2109129294109566,0.2208592022939554,0.0
Weak overlap,Reference,gcomp,2.569474029177345,0.5694740291773446,0.6106951846308679,0.0,0.2216739315825917,,
Weak overlap,Reference,ipw,2.47440852906128,0.4744085290612802,0.5740303427584297,0.0,0.3248113391208617,0.425241878796357,0.81
