scenario,generator,family,metric,mean,std,count
standard,gaussian_copula,fidelity,correlation_frobenius_per_variable,0.054151018840081916,0.004160791011177009,100
standard,gaussian_copula,fidelity,descriptive_fidelity_distance,0.010994708058204612,0.002001330880073677,100
standard,gaussian_copula,fidelity,ks_bmi,0.013055,0.004449290602858715,100
standard,gaussian_copula,fidelity,ks_outcome,0.0129925,0.00407465915411611,100
standard,gaussian_copula,fidelity,mean_abs_std_diff_bmi,0.011243277140907705,0.008815818892892468,100
standard,gaussian_copula,fidelity,mean_abs_std_diff_outcome,0.011698219557547634,0.009823000768346747,100
standard,gaussian_copula,fidelity,pmse_raw,0.0013356261555474303,0.00020297513335551255,100
standard,gaussian_copula,fidelity,real_vs_synthetic_auc,0.5164527344444444,0.009113432176553292,100
standard,gaussian_copula,fidelity,tv_active,0.004905000000000001,0.003440104385308414,100
standard,gaussian_copula,fidelity,tv_age_group,0.0215775,0.004818380082160564,100
standard,gaussian_copula,fidelity,tv_diabetes,0.004167500000000004,0.00304367513597186,100
standard,gaussian_copula,fidelity,tv_education,0.010317499999999997,0.004476207443898024,100
standard,gaussian_copula,fidelity,tv_female,0.006392499999999999,0.004607889452018157,100
standard,gaussian_copula,fidelity,tv_general_health,0.011467499999999999,0.0049017692899316675,100
standard,gaussian_copula,fidelity,tv_income,0.018452499999999997,0.004694814327069449,100
standard,gaussian_copula,fidelity,tv_treatment,0.005667500000000001,0.004194310570477129,100
standard,gaussian_copula,mechanism_preservation,outcome_contrast_correlation,0.04469575056736964,0.1316257438696668,100
standard,gaussian_copula,mechanism_preservation,outcome_contrast_rmse,1.2875989923967115,0.1295609962980927,100
standard,gaussian_copula,mechanism_preservation,treatment_mechanism_correlation,0.9884108098283276,0.005632765573374327,100
standard,gaussian_copula,mechanism_preservation,treatment_mechanism_rmse,0.05140998198743952,0.00688538720472285,100
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_bias,-0.12473625655465086,0.25486801024058636,100
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_mae,0.7540228566454285,0.08069894317537757,100
standard,gaussian_copula,oracle_mechanism,oracle_effect_contrast_rmse,0.9554587053402392,0.10197075399782257,100
standard,gaussian_copula,oracle_mechanism,oracle_propensity_correlation,0.8704307622298346,0.019952587732518588,100
standard,gaussian_copula,oracle_mechanism,oracle_propensity_rmse,0.10081994941920107,0.007082719333108675,100
standard,gaussian_copula,predictive_utility,tstr_outcome_rmse,5.439913695705737,0.07234399297146166,100
standard,gaussian_copula,predictive_utility,tstr_treatment_auc,0.7000652207891465,0.010502575512059974,100
standard,reference,oracle_mechanism,oracle_effect_contrast_bias,-0.0517246693092275,0.18589300637324574,100
standard,reference,oracle_mechanism,oracle_effect_contrast_mae,0.6591975514003449,0.07775761457826062,100
standard,reference,oracle_mechanism,oracle_effect_contrast_rmse,0.8658677644885491,0.10593205072420185,100
standard,reference,oracle_mechanism,oracle_propensity_correlation,0.9366847990421018,0.006598052089732225,100
standard,reference,oracle_mechanism,oracle_propensity_rmse,0.07411532103765411,0.0035422927212432525,100
weak_overlap,gaussian_copula,fidelity,correlation_frobenius_per_variable,0.059956882274955464,0.004044699815600694,100
weak_overlap,gaussian_copula,fidelity,descriptive_fidelity_distance,0.011423812839018293,0.0019497801350960582,100
weak_overlap,gaussian_copula,fidelity,ks_bmi,0.013492500000000001,0.0036719065520888095,100
weak_overlap,gaussian_copula,fidelity,ks_outcome,0.013927499999999999,0.004460162468164612,100
weak_overlap,gaussian_copula,fidelity,mean_abs_std_diff_bmi,0.012358769992475118,0.008780749730625216,100
weak_overlap,gaussian_copula,fidelity,mean_abs_std_diff_outcome,0.012884484075744393,0.010453880009799727,100
weak_overlap,gaussian_copula,fidelity,pmse_raw,0.0013139489438646857,0.00023023235563789056,100
weak_overlap,gaussian_copula,fidelity,real_vs_synthetic_auc,0.5172384277777777,0.009905979865905381,100
weak_overlap,gaussian_copula,fidelity,tv_active,0.005892500000000006,0.004687622725666156,100
weak_overlap,gaussian_copula,fidelity,tv_age_group,0.022169999999999995,0.004748854194604859,100
weak_overlap,gaussian_copula,fidelity,tv_diabetes,0.004300000000000001,0.002967841102229165,100
weak_overlap,gaussian_copula,fidelity,tv_education,0.0096525,0.004433984772142997,100
weak_overlap,gaussian_copula,fidelity,tv_female,0.006007499999999999,0.004654944015547212,100
weak_overlap,gaussian_copula,fidelity,tv_general_health,0.012082499999999998,0.004924564150329151,100
weak_overlap,gaussian_copula,fidelity,tv_income,0.018647499999999997,0.004390947845260518,100
weak_overlap,gaussian_copula,fidelity,tv_treatment,0.005670000000000004,0.004236964560492415,100
weak_overlap,gaussian_copula,mechanism_preservation,outcome_contrast_correlation,0.19435133527739923,0.13840858551025687,100
weak_overlap,gaussian_copula,mechanism_preservation,outcome_contrast_rmse,1.598681811111902,0.1645056289271782,100
weak_overlap,gaussian_copula,mechanism_preservation,treatment_mechanism_correlation,0.9900507773617196,0.0032395437189892823,100
weak_overlap,gaussian_copula,mechanism_preservation,treatment_mechanism_rmse,0.07626097655836989,0.006977358542272318,100
weak_overlap,gaussian_copula,oracle_mechanism,oracle_effect_contrast_bias,0.2018894660308772,0.276984186531893,100
weak_overlap,gaussian_copula,oracle_mechanism,oracle_effect_contrast_mae,0.7700468189431352,0.10352232999076195,100
weak_overlap,gaussian_copula,oracle_mechanism,oracle_effect_contrast_rmse,0.994584495630064,0.14842380208085607,100
weak_overlap,gaussian_copula,oracle_mechanism,oracle_propensity_correlation,0.9253140867298788,0.008852767503318659,100
weak_overlap,gaussian_copula,oracle_mechanism,oracle_propensity_rmse,0.12592704133442859,0.006400622788012097,100
weak_overlap,gaussian_copula,predictive_utility,tstr_outcome_rmse,5.445064188091735,0.07511017818908984,100
weak_overlap,gaussian_copula,predictive_utility,tstr_treatment_auc,0.8296091487839199,0.007349684754122951,100
weak_overlap,reference,oracle_mechanism,oracle_effect_contrast_bias,0.6413955741716038,0.2220463170642573,100
weak_overlap,reference,oracle_mechanism,oracle_effect_contrast_mae,0.9962773887202755,0.13347759601143466,100
weak_overlap,reference,oracle_mechanism,oracle_effect_contrast_rmse,1.5807679438232354,0.1841679013921359,100
weak_overlap,reference,oracle_mechanism,oracle_propensity_correlation,0.9727228941363911,0.0023657275227051897,100
weak_overlap,reference,oracle_mechanism,oracle_propensity_rmse,0.07245921609557099,0.003117234092080819,100
